name,age,height_cm,weight_kg,overall,value_eur,preferred_foot,team_position,shooting,passing,defending,attacking_crossing,attacking_finishing,attacking_heading_accuracy,skill_dribbling,skill_curve,skill_fk_accuracy,skill_ball_control,movement_sprint_speed,movement_reactions,power_jumping,power_stamina,power_strength
M. Al Thmali,28,174,67,60,210000,Right,SUB,56,60,60,51,53,58,60,58,62,62,61,58,69,41,65
B. Kırdaroğlu,19,178,65,57,220000,Left,SUB,56,49,32,53,59,42,67,47,41,62,67,38,48,52,41
T. Richards,19,186,78,57,220000,Right,SUB,56,55,43,52,54,42,62,49,52,60,61,52,52,65,66
I. Cameron,19,191,78,57,220000,Right,SUB,56,54,48,49,60,65,59,41,40,60,55,50,65,48,73
T. Smith,21,178,67,58,220000,Right,SUB,56,46,21,33,61,48,63,52,30,60,80,55,59,59,45
Yan,21,175,71,58,220000,Right,SUB,56,52,21,41,58,45,65,55,41,59,65,55,51,52,56
H. Pérez,33,174,70,63,220000,Right,SUB,56,56,37,34,59,49,60,44,43,63,61,67,62,76,78
C. Tengstedt,20,185,80,57,230000,Right,SUB,56,40,23,29,59,54,59,44,43,57,70,50,65,57,60
T. Bair,20,193,98,57,230000,Right,SUB,56,36,24,26,54,52,60,33,27,60,73,53,66,60,81
M. Ndione,20,192,88,58,230000,Right,SUB,56,43,24,28,59,61,55,33,27,58,60,54,69,63,84
A. Kalkan,21,182,77,59,240000,Left,SUB,56,55,28,63,58,42,60,45,42,67,63,41,41,55,59
M. Al Dhaw,26,169,67,60,240000,Right,SUB,56,55,40,53,56,43,62,45,44,61,70,53,56,61,60
M. Marzec,25,178,70,60,250000,Left,SUB,56,54,25,47,57,33,60,53,59,62,75,53,48,48,43
S. McGinn,31,180,80,62,250000,Right,SUB,56,62,56,58,48,45,65,65,58,62,38,64,53,74,79
O. Babuscu,16,176,70,58,275000,Right,SUB,56,58,22,57,56,35,65,59,56,65,67,38,69,35,55
K. Isa,19,178,71,58,275000,Right,SUB,56,48,23,38,55,55,60,45,38,56,60,60,60,49,56
A. Al Ammar,26,177,72,61,275000,Left,SUB,56,59,55,62,59,51,60,53,43,62,72,56,66,70,64
E. Figueroa,29,184,79,62,275000,Left,SUB,56,61,60,63,50,58,60,61,58,62,64,57,78,63,65
Yang Jun A,31,188,83,63,275000,Left,SUB,56,56,60,59,51,63,58,68,71,59,37,60,76,66,84
Bolaño,34,182,77,67,275000,Left,SUB,56,59,67,65,52,67,56,58,59,59,63,65,75,72,71
A. Amadi-Holloway,27,188,83,61,300000,Right,SUB,56,48,46,33,58,68,59,41,45,64,74,49,75,67,85
P. Cowan-Hall,29,173,73,62,300000,Right,SUB,56,55,35,57,56,53,62,54,40,61,81,55,70,64,61
Josi Mouraldo,28,182,81,62,300000,Left,SUB,56,62,42,59,56,45,63,70,62,61,60,68,72,63,77
S. Walker,19,174,70,59,325000,Right,SUB,56,48,33,44,58,56,61,39,33,59,73,54,71,65,54
N. Babil,18,180,70,59,325000,Left,SUB,56,52,24,54,58,37,61,41,42,56,80,40,82,53,65
J. Westerman,18,183,70,59,325000,Right,SUB,56,51,30,59,58,47,59,54,41,65,74,50,45,56,52
S. Tiffoney,21,175,68,60,325000,Right,SUB,56,53,28,56,62,32,61,57,51,63,77,42,45,33,40
S. Kınalı,21,181,76,60,325000,Right,SUB,56,56,30,57,56,47,67,48,43,60,66,56,49,46,57
Tomás Reymão,21,190,80,60,325000,Right,SUB,56,57,50,43,53,43,63,40,33,64,54,63,63,40,78
K. Froese,24,172,71,61,325000,Right,SUB,56,59,55,53,56,50,63,59,35,65,64,60,64,62,60
O. Khan,23,175,71,61,325000,Right,SUB,56,60,42,61,55,47,63,61,62,60,72,55,54,66,57
A. Rufer,24,184,75,61,325000,Right,SUB,56,60,58,57,53,52,61,55,61,62,68,62,66,71,69
E. Collier,25,193,81,61,325000,Right,SUB,56,57,46,52,53,66,61,52,37,64,65,59,66,68,74
J. Zambrano,27,166,66,62,325000,Right,SUB,56,58,32,55,50,35,62,50,46,56,74,65,30,46,31
M. Blair,31,178,74,64,325000,Right,SUB,56,57,56,59,56,49,63,44,56,61,82,62,58,83,65
R. Baicu,20,174,73,59,350000,Left,SUB,56,52,34,51,59,46,58,48,43,59,70,52,63,63,59
L. Vella,23,176,65,61,350000,Right,SUB,56,57,29,64,57,42,65,50,48,62,65,52,49,50,40
B. Michel,22,178,75,61,350000,Right,SUB,56,37,22,29,58,65,52,31,21,55,86,54,67,63,56
F. Piszczek,25,188,77,61,350000,Right,SUB,56,48,26,43,60,57,62,40,34,59,82,56,58,63,70
Zheng Dalun,26,170,69,62,350000,Right,SUB,56,55,49,54,54,60,65,58,38,61,76,58,85,73,45
R. Iio,29,173,69,63,350000,Right,SUB,56,59,45,62,57,49,64,58,58,62,76,60,75,56,64
P. Tomasik,32,177,72,64,350000,Left,SUB,56,63,59,66,53,52,57,56,66,61,80,63,72,60,71
J. Reinhardt,32,182,75,65,350000,Right,SUB,56,61,62,53,48,56,57,57,50,58,70,62,77,73,70
Lee Hee Kyun,22,168,66,60,375000,Right,SUB,56,61,52,61,55,55,63,61,57,63,65,58,62,60,52
C. Ainley,22,173,64,61,375000,Right,SUB,56,58,52,54,56,45,64,52,41,62,76,57,77,72,53
E. Calvillo,22,170,67,61,375000,Right,SUB,56,60,58,51,49,49,61,55,48,65,63,65,62,70,47
T. Kanamori,26,171,74,62,375000,Right,SUB,56,53,30,53,58,59,69,51,40,65,94,51,85,73,70
A. Perea,27,181,73,63,375000,Right,SUB,56,58,38,60,59,49,65,56,48,63,76,55,56,61,58
J. Taylor,28,177,77,63,375000,Right,SUB,56,62,54,60,53,55,62,61,60,63,69,64,65,86,64
H. Adamczyk,22,180,70,61,400000,Right,SUB,56,57,39,54,55,40,64,61,49,66,73,61,50,59,57
A. Chandarov,21,183,73,61,400000,Right,SUB,56,58,37,48,56,55,63,51,58,60,63,58,68,57,48
A. Baroan,20,188,82,61,400000,Left,SUB,56,57,26,51,61,56,60,57,62,62,77,44,59,45,61
J. Daniels,24,174,65,62,400000,Right,SUB,56,54,30,55,58,28,62,51,48,60,80,56,58,66,52
Zhang Chi,32,186,70,66,400000,Right,SUB,56,60,64,56,63,65,58,46,44,61,67,57,75,73,64
M. Rosołek,18,183,77,60,425000,Right,SUB,56,44,19,36,59,64,54,41,29,59,75,58,71,61,59
L. Lumeka,21,171,71,61,450000,Right,SUB,56,55,25,57,59,36,60,52,53,62,77,56,33,35,53
N. D'Agostino,22,175,77,62,450000,Right,SUB,56,55,36,55,62,63,60,57,42,59,82,59,84,61,72
H. Hinostroza,26,176,70,63,450000,Right,SUB,56,66,58,63,50,53,67,53,58,60,80,59,81,60,60
S. Mallon,21,178,64,61,475000,Left,SUB,56,56,46,62,57,49,64,55,52,60,69,56,58,63,50
F. Bin Jamayah,25,175,61,63,475000,Right,SUB,56,63,37,66,50,48,61,64,65,66,74,50,52,52,31
Jajá,25,178,70,63,475000,Left,SUB,56,65,50,63,49,43,67,72,68,70,65,62,65,61,53
D. Popadiuc,25,177,73,63,475000,Left,SUB,56,59,36,58,54,38,61,48,47,63,74,58,45,73,61
F. Montero,31,167,68,65,475000,Right,SUB,56,61,65,57,47,54,64,55,51,66,69,67,66,70,66
A. Borysiuk,28,180,70,65,475000,Right,SUB,56,61,59,58,48,50,59,56,57,63,65,66,85,70,68
H. Caballero,29,181,76,65,475000,Right,SUB,56,56,69,42,50,70,65,30,36,70,54,53,65,41,68
J. Tveita,27,184,80,65,475000,Right,SUB,56,57,63,55,52,58,61,53,39,60,69,63,61,76,71
L. Sandoval,21,183,76,61,500000,Right,SUB,56,58,38,56,62,48,62,34,39,67,76,58,55,60,60
J. Benson,20,175,74,62,500000,Right,SUB,56,62,56,57,54,48,61,61,62,61,67,58,67,69,62
Y. Machida,30,166,57,65,500000,Right,SUB,56,60,35,54,60,34,62,69,53,67,85,61,87,66,31
J. Colback,30,177,77,66,525000,Left,SUB,56,63,64,59,51,52,60,60,50,63,53,56,79,59,59
H. Bwana,23,175,66,63,550000,Right,SUB,56,57,38,58,56,42,67,49,55,63,74,59,59,57,45
O. Bic,26,179,75,64,550000,Left,SUB,56,60,61,46,55,42,64,49,56,64,69,59,67,73,67
Bura,24,183,77,64,550000,Right,SUB,56,56,59,47,58,53,63,36,34,64,66,64,71,76,65
C. Fernández,28,178,70,65,550000,Right,SUB,56,57,32,68,59,39,71,49,47,69,72,63,53,70,50
D. Tshimanga,31,176,72,67,550000,Left,SUB,56,59,62,67,54,58,68,52,48,63,84,66,80,65,61
H. Saghiri,23,180,70,64,600000,Right,SUB,56,58,62,53,54,61,61,63,43,63,68,64,67,80,56
J. Quiñónez,22,182,70,64,600000,Right,SUB,56,59,59,56,57,55,60,43,32,66,78,59,70,76,73
N. Oduwa,24,183,71,64,600000,Right,SUB,56,52,40,49,58,58,73,49,42,68,77,57,50,61,56
Jackson Crusso,20,187,77,65,600000,Right,SUB,56,59,22,64,51,63,73,38,60,71,70,56,77,48,48
Y. Lobo,27,187,77,65,600000,Right,SUB,56,60,55,40,57,49,65,58,36,70,68,57,67,78,62
R. Tunnicliffe,27,183,80,65,600000,Right,SUB,56,64,64,63,52,57,63,60,47,66,64,63,59,73,69
N. Omladič,30,180,72,66,600000,Left,SUB,56,66,43,65,45,25,72,70,71,72,67,58,58,60,57
M. Ofkir,23,178,71,64,625000,Right,SUB,56,54,30,58,52,33,68,59,38,63,83,62,45,67,47
T. Lowery,22,168,75,64,650000,Right,SUB,56,62,52,52,55,37,66,56,52,64,67,60,56,80,57
Nuno Cedrim,28,181,78,66,650000,Right,SUB,56,69,29,72,50,56,72,83,68,75,69,69,65,60,73
C. Evans,29,180,69,67,650000,Right,SUB,56,60,65,53,51,59,53,55,44,65,53,71,63,77,62
G. Tormin,22,174,72,64,675000,Left,SUB,56,59,31,60,56,45,66,51,54,64,77,55,81,67,57
M. Hartmann,32,194,90,69,675000,Right,SUB,56,54,69,38,51,71,52,36,40,55,44,69,37,66,87
A. Acosta,23,176,73,65,725000,Right,SUB,56,61,43,65,58,54,63,57,45,63,77,56,67,64,68
R. Zambrano,25,170,68,66,750000,Right,SUB,56,68,60,63,51,48,67,75,69,69,72,62,63,68,63
I. Sadiq,20,168,68,64,775000,Right,SUB,56,53,30,55,60,38,66,54,37,63,88,55,81,60,52
S. Breitkreuz,28,189,86,67,775000,Right,SUB,56,46,66,40,56,73,50,33,35,52,61,61,80,53,80
Kaio Aldair,28,175,63,68,775000,Right,SUB,56,62,63,68,52,58,62,60,49,71,81,62,71,63,40
L. Ramazani,19,167,60,63,800000,Right,SUB,56,55,33,54,58,41,65,55,47,64,76,64,60,63,57
Pascu,20,181,67,63,800000,Right,SUB,56,64,56,49,53,58,62,59,46,67,59,55,58,49,42
Jeon Se Jin,20,182,69,64,800000,Right,SUB,56,54,20,55,60,54,66,62,34,65,79,65,56,59,56
Guillem Jaime,21,177,70,64,800000,Right,SUB,56,60,58,63,54,59,69,59,46,68,68,64,52,62,57
L. Fülöp,22,180,76,65,800000,Right,SUB,56,61,45,53,56,52,65,48,53,66,68,64,60,76,67
Sérgio Espinho,24,176,74,67,825000,Right,SUB,56,63,64,43,61,59,68,63,64,70,57,66,56,71,73
Freddy Cardouso,20,172,70,67,850000,Left,SUB,56,70,40,74,52,50,72,76,70,66,64,71,64,60,58
Joni Montiel,21,173,67,65,875000,Left,SUB,56,63,44,58,63,45,65,41,45,69,61,61,43,31,30
J. Leborgne,24,173,63,66,900000,Right,SUB,56,70,63,68,51,60,68,63,65,66,70,55,58,69,60
J. Carls,23,177,70,66,900000,Left,SUB,56,56,57,59,55,54,66,42,46,64,85,62,56,78,48
P. Cornud,23,177,73,66,900000,Left,SUB,56,62,59,68,52,59,61,66,61,60,78,59,64,83,61
Lucas Ahijado,25,173,67,67,900000,Right,SUB,56,61,61,65,53,55,65,47,52,66,75,64,44,75,60
R. Laryea,25,175,70,67,900000,Right,SUB,56,60,61,53,57,46,67,58,51,65,76,63,69,77,49
F. Pérez,20,170,65,65,925000,Right,SUB,56,64,61,53,47,57,63,45,55,65,70,59,65,73,49
B. Hussein,20,175,70,65,925000,Right,SUB,56,64,54,60,58,45,66,51,40,69,58,59,72,67,60
Jefferson,26,181,80,67,925000,Right,SUB,56,65,59,62,47,63,69,38,46,73,69,65,51,70,72
N. Boujellab,21,182,72,65,975000,Right,SUB,56,59,50,50,58,49,75,54,55,70,68,62,52,59,47
J. Yeboah,20,170,66,64,1000000,Left,SUB,56,53,25,58,58,59,67,43,36,65,80,62,60,64,47
A. Ouattara,20,176,70,64,1000000,Right,SUB,56,54,32,57,58,44,67,46,43,65,76,63,57,63,51
L. Hemmerich,22,180,70,66,1000000,Right,SUB,56,61,56,63,49,55,63,70,57,65,79,61,70,85,68
G. Byers,24,180,73,67,1000000,Right,SUB,56,63,56,45,55,44,66,64,56,70,65,68,56,70,64
F. Henríquez,25,185,74,67,1000000,Left,SUB,56,63,69,56,48,56,65,56,58,70,71,68,68,73,72
C. Fandrich,29,177,67,69,1000000,Right,SUB,56,67,52,58,53,18,71,67,59,73,73,70,74,77,34
Nosberto Vila,24,176,75,69,1000000,Right,SUB,56,63,68,71,44,72,65,54,41,73,61,57,63,72,71
A. Ouahim,22,175,68,67,1100000,Right,SUB,56,61,36,58,57,48,75,64,59,69,69,67,52,78,44
A. Hadžiahmetović,23,179,70,67,1100000,Right,SUB,56,65,56,59,46,54,70,54,61,70,69,63,55,71,68
M. Multhaup,23,174,71,67,1100000,Right,SUB,56,61,40,59,57,43,73,57,53,68,83,58,65,73,56
N. Linares,24,175,72,68,1100000,Right,SUB,56,64,67,56,54,54,67,53,56,68,64,64,60,68,63
C. Arboleda,28,173,64,69,1100000,Left,SUB,56,69,45,74,55,66,78,70,63,70,81,52,61,65,70
R. Miyaichi,27,183,71,69,1100000,Right,SUB,56,58,26,64,58,35,74,61,48,71,91,66,58,64,54
M. Odubajo,26,177,72,69,1100000,Right,SUB,56,62,68,61,55,63,67,47,42,65,83,65,74,60,71
L. Antonelli,33,184,79,71,1100000,Left,SUB,56,66,70,69,51,66,70,65,41,70,71,68,72,68,72
M. Madsen,22,186,82,68,1200000,Left,SUB,56,66,58,55,53,55,68,44,52,70,60,62,58,88,71
Jordi Calavera,24,182,74,69,1200000,Right,SUB,56,59,63,69,46,58,64,62,52,66,78,63,70,84,70
D. Zuma,25,169,72,69,1300000,Right,SUB,56,65,41,67,60,38,74,61,50,70,74,64,41,61,45
G. Crociata,22,174,67,68,1400000,Right,SUB,56,66,32,65,50,54,72,67,63,72,73,68,60,62,58
J. Torres,23,167,70,68,1400000,Left,SUB,56,59,34,56,53,42,75,48,42,67,89,61,74,67,57
Avilés,22,181,75,68,1400000,Right,SUB,56,67,23,72,70,44,71,40,42,73,64,58,39,41,55
F. Muslija,21,172,65,68,1500000,Right,SUB,56,63,30,63,54,38,77,70,75,71,78,63,67,67,36
Gonzalo Villar,22,181,74,68,1500000,Right,SUB,56,69,53,56,54,45,69,64,61,75,70,64,56,75,59
G. Bussmann,29,184,75,70,1500000,Left,SUB,56,59,69,66,48,73,61,51,56,64,66,69,78,67,77
R. Nagaki,32,173,72,71,1500000,Right,SUB,56,69,71,72,52,57,65,65,72,71,59,68,68,70,68
J. Jønsson,27,182,78,70,1600000,Right,SUB,56,63,67,54,54,62,64,49,48,70,76,68,75,79,73
N. Uysal,29,180,72,70,1700000,Right,SUB,56,59,68,68,55,72,64,45,30,65,70,67,81,67,72
M. Kamiński,28,192,84,70,1700000,Left,SUB,56,62,71,55,53,69,56,52,54,63,68,67,76,55,78
Luan Sendeiro,28,181,78,70,1800000,Right,SUB,56,71,68,65,52,74,55,53,75,69,68,68,48,66,73
Brian Oliván,26,177,73,70,1900000,Left,SUB,56,59,65,67,55,59,68,71,41,69,76,67,61,92,67
Sílvio,32,176,68,72,1900000,Right,SUB,56,66,70,73,49,65,66,69,44,69,66,65,74,78,64
D. Cools,24,184,77,70,2200000,Right,SUB,56,65,67,70,48,71,67,61,37,68,75,63,68,71,78
D. Kinsombi,24,183,74,70,2300000,Right,SUB,56,62,68,47,56,60,70,38,29,73,70,71,84,85,75
Luisinho Conradi,20,174,78,71,2300000,Left,SUB,56,66,68,72,54,52,75,74,51,76,66,72,72,76,71
M. Bakakis,29,175,65,72,2600000,Right,SUB,56,66,67,73,50,60,71,61,59,69,83,64,64,77,59
L. Takács,23,190,84,71,2900000,Right,SUB,56,59,71,41,54,74,60,44,32,66,60,66,57,71,84
J. Williams,23,185,80,71,3000000,Right,SUB,56,67,68,60,53,54,69,58,54,67,57,68,49,70,57
H. De la Fuente,23,178,73,71,3100000,Right,SUB,56,60,65,67,51,59,71,57,47,69,86,63,79,84,72
Rúben Freitas,27,180,76,72,3100000,Right,SUB,56,66,63,68,58,46,66,71,29,68,89,68,56,88,72
Sergi Palencia,24,168,67,72,3900000,Right,SUB,56,62,69,72,51,57,71,58,44,69,75,68,57,75,67
S. Denswil,27,188,82,73,4300000,Left,SUB,56,65,75,44,46,76,63,68,72,68,47,70,54,65,77
Marc Navarro,24,188,79,73,4700000,Right,SUB,56,69,74,75,53,76,60,62,51,74,63,69,32,64,68
Bruno Fuchs,21,190,85,72,4900000,Right,SUB,56,64,73,55,53,68,66,34,28,68,74,73,60,71,75
Toni Lato,22,171,64,73,5500000,Left,SUB,56,71,68,79,55,65,70,75,38,71,77,70,51,68,56
E. Atuesta,23,180,71,73,5500000,Right,SUB,56,71,67,51,55,49,74,74,73,75,59,74,59,76,63
S. Cáseres,23,177,75,73,5500000,Right,SUB,56,66,71,59,54,65,66,54,42,75,66,70,70,70,71
Estevão Baldeiro,24,186,85,74,5500000,Right,SUB,56,60,76,62,41,75,59,48,63,71,71,62,71,72,78
J. Moreira,30,173,75,75,5500000,Right,SUB,56,70,68,75,45,65,70,59,36,74,86,68,66,80,58
Marçal,31,178,72,76,5500000,Left,SUB,56,70,75,71,52,62,70,65,55,74,75,73,74,71,71
D. D'Ambrosio,31,180,75,77,6500000,Right,SUB,56,67,78,73,48,73,71,63,62,69,67,79,78,74,65
I. Doumbia,22,187,80,74,7500000,Right,SUB,56,67,71,63,53,62,71,56,41,72,70,71,68,78,90
G. Rodríguez,25,185,80,76,8500000,Right,SUB,56,65,77,59,43,72,60,49,42,72,59,75,43,76,81
A. Maier,21,186,82,74,9000000,Right,SUB,56,72,69,64,54,40,75,49,44,78,66,75,56,75,75
B. Soumaré,21,188,82,76,11000000,Right,SUB,56,71,70,59,51,60,76,64,53,78,69,75,69,77,77
B. Goodship,25,180,71,59,200000,Right,CAM,57,48,19,45,58,53,59,37,33,59,74,56,67,67,65
J. McAtee,20,180,75,60,450000,Right,CAM,57,56,30,49,58,47,61,46,35,59,67,55,64,65,55
L. Kalludra,28,170,68,64,450000,Right,CAM,57,63,51,60,58,44,67,58,53,66,74,64,81,74,56
J. Musiala,17,181,72,61,500000,Right,CAM,57,55,29,52,60,31,68,47,38,66,66,55,47,48,42
C. Gribbin,21,178,72,62,500000,Left,CAM,57,63,35,62,54,54,64,64,72,63,67,56,54,56,59
Han Seung Gyu,23,174,67,65,775000,Right,CAM,57,66,46,63,54,45,70,60,52,69,85,67,74,66,56
J. Arroé,28,175,69,67,775000,Right,CAM,57,61,31,72,65,35,67,49,33,73,72,57,53,53,61
G. Weissbeck,23,177,70,65,800000,Right,CAM,57,66,41,58,59,47,66,59,65,70,66,53,62,61,63
M. Marić,36,188,83,66,130000,Right,CB,57,49,68,39,52,69,38,52,58,56,32,63,34,70,79
G. Trauner,28,183,82,74,5500000,Right,CB,57,62,74,59,51,74,58,58,49,64,66,72,76,89,76
K. Vogt,28,194,85,77,8000000,Right,CB,57,72,77,63,50,77,67,50,62,73,73,76,54,70,83
S. Foley,33,183,74,62,180000,Right,CDM,57,63,60,63,57,54,62,51,57,65,67,55,58,69,68
D. Rose,32,170,66,62,230000,Left,CDM,57,61,59,55,54,51,57,61,59,63,51,59,74,73,63
I. Saavedra,21,172,65,66,950000,Right,CDM,57,59,58,42,56,43,67,34,42,70,63,68,63,74,68
K. Jakić,23,181,78,70,2300000,Right,CDM,57,63,66,51,44,66,62,41,39,71,65,63,64,83,79
K. Balanta,23,181,73,70,2500000,Right,CDM,57,60,68,38,55,70,63,36,37,73,86,73,79,90,68
Jorginhson,28,178,75,75,6000000,Left,CDM,57,68,76,50,61,71,75,75,55,73,70,77,56,74,56
William Carvalho,28,187,79,80,13000000,Right,CDM,57,76,75,68,52,71,72,80,50,74,44,76,70,81,91
C. Carmona,33,173,68,70,875000,Right,CM,57,65,67,56,46,55,59,68,57,69,63,70,64,73,70
D. Rigo,21,180,75,66,1000000,Right,CM,57,73,46,74,54,48,68,71,57,72,54,57,44,62,60
S. Martínez,27,175,68,68,1000000,Right,CM,57,64,64,55,59,44,65,51,52,70,66,67,80,81,59
A. Palavecino,23,173,67,64,675000,Right,LAM,57,67,34,61,50,35,60,60,57,65,70,56,57,65,62
J. Keohane,29,180,72,64,375000,Right,LB,57,60,60,58,58,50,63,59,58,63,76,57,53,70,59
M. Niemeyer,24,178,71,65,650000,Left,LB,57,60,51,66,66,40,71,41,35,70,82,60,63,73,58
Jiang Zhipeng,31,180,70,69,750000,Left,LB,57,69,64,73,52,49,68,77,66,64,74,70,56,72,62
S. Sidler,21,185,76,66,1000000,Right,LB,57,62,63,65,57,56,62,50,48,56,65,58,66,73,62
L. Schmitz,31,184,80,70,1300000,Left,LB,57,64,68,65,42,59,59,70,66,65,68,66,66,80,73
J. Villafaña,30,175,68,71,1900000,Left,LB,57,69,64,73,54,61,67,61,53,67,77,70,54,78,62
Q. Bernard,30,183,81,71,1900000,Left,LB,57,70,67,73,57,68,62,43,59,68,65,62,80,92,72
A. Aldrete,32,177,75,73,2500000,Left,LB,57,68,70,72,41,64,68,77,77,72,72,71,77,79,64
Padilhisco,28,182,82,74,4800000,Left,LB,57,65,69,74,56,62,77,66,56,76,83,65,68,79,79
K. Gibbs,30,179,70,75,5500000,Left,LB,57,68,72,71,51,65,71,66,52,73,76,75,71,73,67
Lucas Lima,28,178,72,75,5500000,Left,LB,57,71,71,78,42,41,70,75,73,74,75,71,76,86,69
Kiko Femenía,29,174,61,76,6500000,Right,LB,57,71,71,77,53,56,76,65,55,76,74,70,69,78,63
J. Bořil,29,175,75,78,8500000,Right,LB,57,70,75,77,53,70,71,57,49,75,79,72,82,87,77
R. Bensebaini,25,186,82,79,14000000,Left,LB,57,71,77,80,58,81,74,67,62,79,70,76,84,78,79
Yu Dabao,32,185,79,65,350000,Right,LCB,57,58,63,50,51,67,57,55,56,63,67,67,75,76,77
M. Bostwick,32,193,89,65,350000,Right,LCB,57,48,63,41,49,66,44,41,63,48,34,62,54,82,88
J. Meza,34,165,60,62,150000,Right,LCM,57,59,49,50,50,39,67,53,46,66,80,60,58,78,38
N. Fitzgerald,28,175,70,61,250000,Right,LCM,57,54,43,54,58,43,57,59,49,58,82,54,67,78,63
J. Passaglia,31,181,78,63,325000,Left,LCM,57,62,43,56,54,46,64,50,47,65,62,64,62,73,58
Song Seung Min,28,187,77,63,375000,Right,LCM,57,60,41,59,58,63,62,54,58,61,74,67,62,80,75
Andrés García,24,181,75,64,625000,Right,LCM,57,64,50,58,55,50,68,56,54,71,64,55,47,59,56
R. Ljubicic,20,178,74,65,825000,Right,LCM,57,63,61,59,56,59,66,45,45,68,52,63,63,69,66
D. Ivan,25,175,68,67,975000,Right,LCM,57,64,58,60,55,50,67,60,51,71,69,67,57,72,44
H. Vetlesen,20,174,72,65,1000000,Right,LCM,57,63,58,59,58,49,67,60,55,66,69,61,80,73,59
G. Kinda,26,173,66,68,1100000,Right,LCM,57,64,55,58,63,48,77,48,39,74,76,70,57,70,51
Víctor Ruiz,26,172,68,69,1300000,Right,LCM,57,68,35,61,55,40,75,65,66,72,77,60,33,70,44
A. Grgić,23,188,84,68,1400000,Right,LCM,57,72,62,68,48,48,60,71,70,69,53,54,61,66,75
S. Alzate,21,180,75,68,1500000,Right,LCM,57,66,53,65,57,45,74,61,22,71,69,68,57,70,68
Y. Makarenko,29,184,84,70,1500000,Left,LCM,57,69,70,70,47,64,65,59,56,68,66,67,60,48,75
J. Moreno,26,174,73,70,2000000,Right,LCM,57,69,67,65,53,62,61,73,65,66,67,70,64,72,72
O. Govea,24,174,74,70,2300000,Right,LCM,57,70,68,58,42,59,68,75,74,73,61,66,67,67,62
D. Rodríguez,30,170,77,72,2600000,Right,LCM,57,66,69,66,45,67,62,59,48,72,64,72,72,79,64
M. Grimes,24,178,70,74,6500000,Left,LCM,57,76,66,73,52,39,69,73,71,74,62,74,64,88,56
C. Clifford,28,173,77,59,150000,Right,LDM,57,60,54,56,52,53,56,55,58,58,51,55,49,65,58
I. Vigurs,32,173,72,62,230000,Left,LDM,57,62,54,61,55,55,62,64,62,63,66,64,64,73,68
Aguilera,34,185,77,68,350000,Right,LDM,57,63,62,43,54,43,69,72,60,70,44,61,63,61,80
K. Aouadhi,34,194,80,69,400000,Right,LDM,57,63,66,61,51,65,63,49,58,69,61,66,52,83,78
R. Figiel,29,175,74,64,425000,Right,LDM,57,62,55,54,56,43,60,56,61,64,62,62,44,77,64
R. Deaconu,23,181,73,63,525000,Left,LDM,57,64,37,58,52,40,57,68,69,66,65,66,57,77,66
T. Aoki,30,179,77,67,700000,Right,LDM,57,65,65,58,51,59,60,51,58,65,69,68,67,78,76
F. Loshaj,23,174,73,65,725000,Left,LDM,57,63,53,54,54,50,67,61,64,65,59,61,61,82,60
Eddy Silvestre,27,191,80,67,775000,Right,LDM,57,62,63,60,49,59,64,60,51,68,68,66,81,74,89
Kirian,24,180,75,66,900000,Right,LDM,57,65,54,54,53,57,68,53,52,71,61,65,68,61,66
T. Domgjoni,21,177,74,65,975000,Right,LDM,57,62,62,58,51,61,66,65,55,68,70,65,68,79,66
S. Gómez,24,172,72,67,1100000,Left,LDM,57,59,63,40,51,43,63,38,38,66,63,62,67,79,72
Breno Bemposta,24,176,78,70,1700000,Right,LDM,57,66,71,56,41,66,67,74,75,74,44,71,60,78,71
Z. Youssouf,20,182,81,71,4000000,Left,LDM,57,71,64,62,53,47,76,66,65,75,67,64,63,72,68
Marcos Paneira,20,182,73,73,4000000,Right,LDM,57,67,75,61,59,72,71,42,43,66,50,73,76,71,65
A. Poko,27,173,72,73,4100000,Right,LDM,57,64,69,58,56,60,76,41,50,72,73,75,65,90,70
D. Latza,30,179,76,74,5000000,Right,LDM,57,72,63,71,38,61,72,54,59,76,61,75,73,90,68
J. McAnuff,38,177,73,60,70000,Right,LM,57,60,45,65,51,50,64,68,50,62,55,70,53,34,57
W. Figueira,25,182,85,58,170000,Right,LM,57,51,30,48,58,57,57,52,44,56,72,52,64,73,72
M. Hippolyte,25,183,74,60,250000,Left,LM,57,53,24,54,58,45,60,53,36,58,81,52,52,60,68
S. Liseth,22,182,72,60,275000,Right,LM,57,54,30,58,58,60,58,57,34,60,68,57,70,69,71
A. Nathaniel-George,25,175,68,61,325000,Right,LM,57,53,29,58,55,35,66,55,48,62,80,43,35,56,41
S. Dooley,28,180,80,64,450000,Right,LM,57,61,39,64,58,43,66,56,56,62,68,60,48,53,41
M. Greve,25,186,77,64,575000,Right,LM,57,63,51,56,60,51,63,53,58,64,70,59,59,67,65
W. McDonald,23,174,77,64,625000,Right,LM,57,57,35,60,56,41,64,59,40,62,81,56,53,69,66
J. Tartarotti,20,176,70,64,700000,Right,LM,57,64,60,64,57,47,65,62,58,67,63,62,60,69,62
C. Blackett-Taylor,22,180,75,64,700000,Right,LM,57,53,22,54,59,50,66,47,39,63,90,52,71,66,70
J. Kamiński,18,179,68,64,925000,Right,LM,57,57,47,60,62,49,63,63,35,62,81,55,54,57,57
